Time (s),ADC Reading,Intensity (Duty Cycle %)
0.25179100036621094,424,41.44672531769306
0.5008640289306641,326,31.867057673509287
0.7496118545532227,251,24.53567937438905
0.99869704246521,252,24.633431085043988
1.2473371028900146,125,12.218963831867057
1.4962639808654785,33,3.225806451612903
1.745224952697754,33,3.225806451612903
1.994264841079712,1,0.09775171065493646
2.2431130409240723,1,0.09775171065493646
2.4920589923858643,1,0.09775171065493646
2.740946054458618,2,0.19550342130987292
2.989851951599121,1,0.09775171065493646
3.2388088703155518,1,0.09775171065493646
3.487776756286621,1,0.09775171065493646
3.73659610748291,1,0.09775171065493646
3.9854800701141357,1,0.09775171065493646
4.2343409061431885,18,1.7595307917888565
4.483642816543579,20,1.9550342130987293
4.73221492767334,20,1.9550342130987293
4.98128604888916,23,2.248289345063539
5.2300519943237305,184,17.98631476050831
5.478895902633667,188,18.377321603128056
5.727780818939209,188,18.377321603128056
5.976730823516846,188,18.377321603128056
6.2255308628082275,188,18.377321603128056
6.474667072296143,253,24.731182795698924
6.723443031311035,358,34.99511241446726
6.972248792648315,359,35.09286412512219
7.221229791641235,359,35.09286412512219
7.4700140953063965,359,35.09286412512219
7.718966722488403,405,39.589442815249264
7.967958927154541,485,47.40957966764419
8.216733932495117,485,47.40957966764419
8.465855121612549,583,56.98924731182796
8.714593887329102,589,57.57575757575758
8.963270902633667,590,57.67350928641252
9.212120771408081,616,60.215053763440864
9.461037874221802,723,70.67448680351906
9.709835767745972,723,70.67448680351906
9.95868706703186,743,72.62952101661779
10.207627773284912,842,82.3069403714565
10.456411838531494,842,82.3069403714565
10.705300092697144,842,82.3069403714565
10.954104900360107,882,86.21700879765396
11.202943086624146,1001,97.84946236559139
11.45184588432312,1004,98.1427174975562
11.700687885284424,1023,100.0
11.949587106704712,1022,99.90224828934507
12.19859004020691,1023,100.0
12.447449922561646,1022,99.90224828934507
12.696225881576538,946,92.47311827956989
12.94511604309082,904,88.36754643206255
13.194010972976685,903,88.26979472140762
13.44288182258606,877,85.72825024437928
13.691747903823853,774,75.65982404692082
13.940694093704224,774,75.65982404692082
14.189550876617432,721,70.4789833822092
14.438344955444336,662,64.71163245356793
14.687161922454834,662,64.71163245356793
14.936044931411743,517,50.53763440860215
15.184982776641846,517,50.53763440860215
15.4339599609375,414,40.469208211143695
15.682676076889038,397,38.80742913000977
15.931533813476562,397,38.80742913000977
16.180233001708984,349,34.11534701857282
16.429054021835327,341,0.0
16.677873849868774,341,0.0
16.926682949066162,224,21.896383186705766
17.175543785095215,226,22.09188660801564
17.424376964569092,109,0.0
17.673090934753418,109,0.0
17.922013998031616,109,0.0
18.170716047286987,2,0.0
18.4195499420166,2,0.0
18.668481826782227,1,0.0
18.917321920394897,1,0.0
19.16609001159668,1,0.0
19.414891004562378,1,0.0
19.663667917251587,1,0.0
19.912524938583374,1,0.0
20.161289930343628,1,0.0
20.410088062286377,1,0.0
20.65898084640503,57,5.571847507331378
20.907734870910645,57,5.571847507331378
21.15664291381836,56,0.0
21.405367851257324,56,0.0
21.654135942459106,72,7.038123167155426
21.902826070785522,72,7.038123167155426
22.151620864868164,72,0.0
22.400329113006592,72,0.0
22.649086952209473,213,20.821114369501466
22.897953748703003,290,28.347996089931577
23.14660882949829,294,0.0
23.39536690711975,294,0.0
23.644127130508423,293,28.641251221896386
23.892895936965942,308,30.107526881720432
24.141718864440918,306,0.0
24.39037799835205,306,0.0
24.639200925827026,307,30.009775171065495
24.887996912002563,339,33.137829912023456
25.13664174079895,386,0.0
25.38550305366516,386,0.0
25.63415789604187,490,47.898338220918866
